Hisse Kodu,Hisse Adı,Şehir
TTRAK,TÜRK TRAKTÖR VE ZİRAAT MAKİNELERİ,ANKARA
TUKAS,TUKAŞ GIDA SANAYİ VE TİCARET,İZMİR
TUPRS,TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ,İSTANBUL
TURSG,TÜRKİYE SİGORTA,İSTANBUL
ULKER,ÜLKER BİSKÜVİ SANAYİ,İSTANBUL
VESBE,VESTEL BEYAZ EŞYA SANAYİ VE TİCARET,İSTANBUL
VESTL,VESTEL ELEKTRONİK SANAYİ VE TİCARET,İSTANBUL
YEOTK,YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ,İSTANBUL
YYLGD,YAYLA AGRO GIDA SANAYİ VE TİCARET,ANKARA
ZOREN,ZORLU ENERJİ ELEKTRİK ÜRETİM,BURSA
